LAMMPS (15 Sep 2022)
OMP_NUM_THREADS environment is not set. Defaulting to 1 thread. (src/comm.cpp:98)
  using 1 OpenMP thread(s) per MPI task
# 2d WCA system, random initial configuration

#variable density equal 0.5
variable initial_temperature equal 3.0
variable final_temperature equal 0.1
variable dt equal 0.01
variable tau equal 100*${dt}
variable tau equal 100*0.01
variable thermo_time equal 50000*${dt}
variable thermo_time equal 50000*0.01
variable equil_steps equal 50000
variable run_steps equal 100000

units           lj
atom_style      atomic
dimension       2

lattice         sq ${density}
lattice         sq 0.5
Lattice spacing in x,y,z = 1.4142136 1.4142136 1.4142136
region          box block 0 20 0 20 -0.5 0.5
# number of atom types
create_box      1 box
Created orthogonal box = (0 0 -0.70710678) to (28.284271 28.284271 0.70710678)
  1 by 1 by 1 MPI processor grid
create_atoms    1 box
Created 400 atoms
  using lattice units in orthogonal box = (0 0 -0.70710678) to (28.284271 28.284271 0.70710678)
  create_atoms CPU = 0.000 seconds
mass 1 1.0

velocity all create ${initial_temperature} 12345
velocity all create 3 12345

pair_style      lj/cut 1.0
#type_1 type_2 epsilon sigma cutoff
pair_coeff      1 1 10.0 0.89089871814 1.0
pair_modify shift yes

timestep ${dt}
timestep 0.01
thermo ${thermo_time}
thermo 500

fix 1 all nvt temp ${initial_temperature} ${initial_temperature} ${tau}
fix 1 all nvt temp 3 ${initial_temperature} ${tau}
fix 1 all nvt temp 3 3 ${tau}
fix 1 all nvt temp 3 3 1
run ${equil_steps}
run 50000
Generated 0 of 0 mixed pair_coeff terms from geometric mixing rule
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 1.3
  ghost atom cutoff = 1.3
  binsize = 0.65, bins = 44 44 3
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/2d
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 3.059 | 3.059 | 3.059 Mbytes
   Step          Temp          E_pair         E_mol          TotEng         Press     
         0   3              0              0              2.9925         1.49625      
       500   2.9392821      0.20442968     0              3.1363635      3.4155072    
      1000   2.9554954      0.18919294     0              3.1372996      3.3695108    
      1500   2.8645928      0.23055476     0              3.0879861      3.5822169    
      2000   3.0445624      0.16606975     0              3.2030208      3.2476158    
      2500   3.0637701      0.14805642     0              3.2041671      3.1502437    
      3000   3.0705945      0.27415638     0              3.3370744      4.0243846    
      3500   2.9955881      0.29602329     0              3.2841224      4.1980129    
      4000   3.2447777      0.14917964     0              3.3858454      3.1393301    
      4500   3.1834186      0.19681717     0              3.3722773      3.612461     
      5000   3.0312056      0.25920654     0              3.2828341      3.9737283    
      5500   2.8515452      0.31395312     0              3.1583694      4.1972026    
      6000   2.6891934      0.19782176     0              2.8802922      3.1995931    
      6500   2.9792984      0.10789432     0              3.0797445      2.6845646    
      7000   2.8944651      0.18778243     0              3.0750113      3.2921635    
      7500   2.9889927      0.12900061     0              3.1105208      2.9326931    
      8000   2.9513047      0.19090349     0              3.1348299      3.4507879    
      8500   3.0478435      0.18223801     0              3.2224619      3.5053641    
      9000   3.0613623      0.2313815      0              3.2850904      3.7208023    
      9500   3.2152331      0.31256882     0              3.5197639      4.2591634    
     10000   3.2005522      0.25930987     0              3.4518607      4.1318294    
     10500   3.2143939      0.17876527     0              3.3851232      3.4820526    
     11000   3.1981848      0.18544045     0              3.3756297      3.5082046    
     11500   3.1287182      0.19877848     0              3.3196749      3.517598     
     12000   2.8221965      0.29313913     0              3.1082802      4.2133888    
     12500   2.7451422      0.18274638     0              2.9210257      3.1569075    
     13000   2.8472739      0.17895194     0              3.0191077      3.1961286    
     13500   2.835549       0.26556411     0              3.0940243      3.9680753    
     14000   2.898176       0.22985494     0              3.1207855      3.65177      
     14500   2.9334729      0.17875293     0              3.1048921      3.1778177    
     15000   2.8618252      0.25762747     0              3.1122981      3.9147854    
     15500   3.1181497      0.19680737     0              3.3071617      3.5847407    
     16000   3.294741       0.20182454     0              3.4883286      3.5637176    
     16500   3.188957       0.16333328     0              3.3443179      3.3483387    
