LAMMPS (15 Sep 2022)
OMP_NUM_THREADS environment is not set. Defaulting to 1 thread. (src/comm.cpp:98)
  using 1 OpenMP thread(s) per MPI task
# 2d WCA system, random initial configuration

#variable density equal 0.5
variable initial_temperature equal 3.0
variable final_temperature equal 0.1
variable dt equal 0.01
variable tau equal 100*${dt}
variable tau equal 100*0.01
variable thermo_time equal 50000*${dt}
variable thermo_time equal 50000*0.01
variable equil_steps equal 50000
variable run_steps equal 100000

units           lj
atom_style      atomic
dimension       2

lattice         sq ${density}
lattice         sq 1.1
Lattice spacing in x,y,z = 0.95346259 0.95346259 0.95346259
region          box block 0 20 0 20 -0.5 0.5
# number of atom types
create_box      1 box
Created orthogonal box = (0 0 -0.47673129) to (19.069252 19.069252 0.47673129)
  1 by 1 by 1 MPI processor grid
create_atoms    1 box
Created 400 atoms
  using lattice units in orthogonal box = (0 0 -0.47673129) to (19.069252 19.069252 0.47673129)
  create_atoms CPU = 0.000 seconds
mass 1 1.0

velocity all create ${initial_temperature} 12345
velocity all create 3 12345

pair_style      lj/cut 1.0
#type_1 type_2 epsilon sigma cutoff
pair_coeff      1 1 10.0 0.89089871814 1.0
pair_modify shift yes

timestep ${dt}
timestep 0.01
thermo ${thermo_time}
thermo 500

fix 1 all nvt temp ${initial_temperature} ${initial_temperature} ${tau}
fix 1 all nvt temp 3 ${initial_temperature} ${tau}
fix 1 all nvt temp 3 3 ${tau}
fix 1 all nvt temp 3 3 1
run ${equil_steps}
run 50000
Generated 0 of 0 mixed pair_coeff terms from geometric mixing rule
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 1.3
  ghost atom cutoff = 1.3
  binsize = 0.65, bins = 30 30 2
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/2d
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 3.055 | 3.055 | 3.055 Mbytes
   Step          Temp          E_pair         E_mol          TotEng         Press     
         0   3              2.19122        0              5.18372        61.445802    
       500   3.0791881      2.4698071      0              5.5412972      50.863455    
      1000   3.089702       2.3972588      0              5.4792366      49.535287    
      1500   3.1419999      1.9925848      0              5.1267298      43.268579    
      2000   2.9983251      2.0156737      0              5.0065029      43.767815    
      2500   2.9668753      1.8813258      0              4.8407839      41.062361    
      3000   3.1233844      2.206788       0              5.322364       47.176484    
      3500   3.058465       2.1080497      0              5.1588685      45.052839    
      4000   3.1362269      2.0613969      0              5.1897832      44.485111    
      4500   2.9360364      2.0873925      0              5.0160887      44.20806     
      5000   3.0300613      2.0345921      0              5.0570783      44.055113    
      5500   2.9754822      2.0989273      0              5.0669708      44.698818    
      6000   2.8638385      2.1181952      0              4.9748741      44.548472    
      6500   3.0327269      1.988933       0              5.014078       43.102381    
      7000   2.946271       1.9674808      0              4.9063862      43.185976    
      7500   3.233259       1.9789826      0              5.2041584      42.977561    
      8000   3.1527631      2.0387087      0              5.1835899      44.570285    
      8500   3.43953        2.2187545      0              5.6496857      46.679208    
      9000   3.0393457      1.9383553      0              4.9701026      42.904335    
      9500   3.0623792      1.9093033      0              4.9640265      41.458415    
     10000   3.0704044      2.0668988      0              5.1296272      44.037183    
     10500   3.0116636      1.9853939      0              4.9895284      43.440251    
     11000   2.8755502      2.12759        0              4.9959514      45.675404    
     11500   3.0925448      1.9981091      0              5.0829225      43.860593    
     12000   3.3258837      2.1875219      0              5.505091       47.137614    
     12500   3.0733316      2.1071048      0              5.1727531      45.146243    
     13000   3.1694633      2.0509218      0              5.2124615      44.311122    
     13500   2.9287775      2.1823301      0              5.1037856      45.518372    
     14000   2.9182569      2.1022356      0              5.0131969      45.267097    
     14500   3.2423408      2.0701692      0              5.3044041      44.835326    
     15000   2.924651       2.047505       0              4.9648444      43.816057    
     15500   2.9586665      1.9830017      0              4.9342715      42.838123    
     16000   3.118604       2.0309103      0              5.1417178      44.276236    
     16500   3.1984034      2.2862098      0              5.4766172      46.978545    
     17000   2.9584415      2.4563833      0              5.4074288      48.56977     
     17500   3.0875559      2.2839155      0              5.3637525      47.597144    
     18000   2.9135105      2.3585066      0              5.2647333      48.578384    
     18500   3.005368       2.3109994      0              5.308854       47.313251    
     19000   2.9732048      2.0552984      0              5.0210702      44.262741    
